keys,pt,en,es,zh
UI_SELECT_LANGUAGE,Selecione o Idioma,Select Language,Selecciona el Idioma,选择语言
UI_LANG_PT,Português,Português,Português,Português
UI_LANG_EN,English,English,English,English
UI_LANG_ES,Español,Español,Español,Español
UI_LANG_ZH,中文,中文,中文,中文
GAME_TITLE,As Aventuras de Maycon,The Legend of Maycon,Las Aventuras de Maycon,麦肯大冒险
GAME_SUBTITLE,O Resgate do Cabelo,The Cabelo's Rescue,El Rescate de Cabelo,拯救卡贝洛
MENU_NIGHT_KICKER,UMA NOITE À BEIRA-MAR,A NIGHT BY THE SEA,UNA NOCHE JUNTO AL MAR,海边之夜
MENU_NIGHT_CAPTION,O horizonte guarda uma lembrança.,The horizon holds a memory.,El horizonte guarda un recuerdo.,地平线珍藏着一段回忆。
MENU_NEW_GAME,Novo Jogo,New Game,Nueva Partida,新游戏
MENU_CONTINUE,Continuar,Continue,Continuar,继续游戏
MENU_SETTINGS,Configurações,Settings,Configuración,设置
MENU_EXIT,Sair,Exit,Salir,退出
MENU_CLOSE,Fechar,Close,Cerrar,关闭
MENU_SAVE_QUIT,Salvar & Sair,Save & Quit,Guardar y Salir,保存并退出
MENU_PAUSE,PAUSE,PAUSE,PAUSA,暂停
MENU_BATTLE_PAUSED,BATALHA PAUSADA,BATTLE PAUSED,BATALLA PAUSADA,战斗暂停
MENU_PAUSE_HINT,ESC / START para continuar,ESC / START to continue,ESC / START para continuar,按 ESC / START 继续
WELL_HEALTH,VIDA,HEALTH,SALUD,生命
WELL_CONTROLS,WASD / SETAS: MOVER  ESPAÇO / A: DASH DE PEIDO  Q / Y: PENTAGRAMA,WASD / ARROWS: MOVE  SPACE / A: FART DASH  Q / Y: PENTAGRAM,WASD / FLECHAS: MOVER  ESPACIO / A: DASH DE PEDO  Q / Y: PENTAGRAMA,WASD / 方向键：移动  空格 / A：屁冲刺  Q / Y：五芒星
WELL_POWER_READY,PENTAGRAMA PRONTO!,PENTAGRAM READY!,¡PENTAGRAMA LISTO!,五芒星已就绪！
WELL_INVULNERABLE,INVULNERÁVEL!,INVULNERABLE!,¡INVULNERABLE!,无敌！
WELL_HIT,IMPACTO!,HIT!,¡IMPACTO!,受击！
MENU_CONTROLLER,CONTROLE,CONTROLLER,CONTROLES,操作说明
MENU_RUN,Correr,Run,Correr,奔跑
MENU_CROUCH,Agachar,Crouch,Agacharse,下蹲
MENU_MAP,MAPA,MAP,MAPA,地图
MENU_OK,OK,OK,OK,确定
SETTINGS_TITLE,Configurações,Settings,Configuración,设置
SETTINGS_GAMEPLAY,Gameplay,Gameplay,Jugabilidad,游戏设置
SETTINGS_DEBUG,Debug,Debug,Depuración,调试
SETTINGS_AIM_ASSIST,Assistente de Mira,Aim Assist,Asistencia de Apuntado,瞄准辅助
SETTINGS_AIM_DESC,Ajusta a intensidade da atração e assistência de mira no combate 3D.,Adjusts aim magnetism and shot assist strength in 3D combat.,Ajusta la intensidad de atracción y asistencia de disparo en combate 3D.,调整3D战斗中的瞄准吸附与射击辅助强度。
SETTINGS_AIM_ASSIST_DESC,Ajusta a intensidade da atração e assistência de mira no combate 3D.,Adjusts aim magnetism and shot assist strength in 3D combat.,Ajusta la intensidad de atracción y asistencia de disparo en combate 3D.,调整3D战斗中的瞄准吸附与射击辅助强度。
SETTINGS_OFF,Desativado,Off,Desactivado,关闭
SETTINGS_AIM_OFF,Desativado,Off,Desactivado,关闭
SETTINGS_EVENTS,Eventos do Jogo (game_events):,Game Events (game_events):,Eventos del Juego (game_events):,游戏事件 (game_events):
SETTINGS_GAME_EVENTS,Eventos do Jogo (game_events):,Game Events (game_events):,Eventos del Juego (game_events):,游戏事件 (game_events):
SETTINGS_CLOSE,Fechar,Close,Cerrar,关闭
SETTINGS_LANGUAGE,Idioma,Language,Idioma,语言
SETTINGS_DEBUG_NO_BATTLES,Não entrar em batalha (derrota ao encostar),No battle encounters (defeat on touch),No entrar en batalla (derrota al tocar),不进入战斗 (接触即击败)
SETTINGS_DEBUG_NO_BATTLES_DESC,Ao encostar nos inimigos eles são derrotados instantaneamente sem iniciar batalhas.,Touching enemies defeats them instantly without triggering battles.,Tocar a los enemigos los derrota al instante sin iniciar batallas.,触碰敌人时立即击败敌人且不触发战斗。
SETTINGS_GRAPHICS_3D,Gráfico 3D,3D Graphics,Gráficos 3D,3D图形
SETTINGS_GRAPHICS_2D,Gráfico 2D,2D Graphics,Gráficos 2D,2D图形
SETTINGS_GFX_OFF,Desligado,Off,Desactivado,关闭
SETTINGS_GFX_SHADOW_LOW,Baixa,Low,Baja,低
SETTINGS_GFX_SHADOW_MEDIUM,Média,Medium,Media,中
SETTINGS_GFX_SHADOW_HIGH,Alta,High,Alta,高
SETTINGS_GFX_FILTER_NEAREST,Nítido (Pixelado),Sharp (Pixelated),Nítido (Pixelado),锐利(像素化)
SETTINGS_GFX_FILTER_LINEAR,Suave,Smooth,Suave,平滑
SETTINGS_GFX_MSAA_3D,MSAA 3D,3D MSAA,MSAA 3D,3D MSAA
SETTINGS_GFX_MSAA_3D_DESC,Suaviza as bordas dos modelos 3D.,Smooths the edges of 3D models.,Suaviza los bordes de los modelos 3D.,平滑3D模型的边缘。
SETTINGS_GFX_RES_SCALE,Escala de Resolução 3D,3D Resolution Scale,Escala de Resolución 3D,3D分辨率缩放
SETTINGS_GFX_RES_SCALE_DESC,Reduz a resolução interna da renderização 3D para melhorar a performance.,Reduces the internal 3D rendering resolution to improve performance.,Reduce la resolución interna del renderizado 3D para mejorar el rendimiento.,降低3D渲染的内部分辨率以提升性能。
SETTINGS_GFX_GLOW,Brilho (Glow),Glow,Brillo (Glow),辉光(Glow)
SETTINGS_GFX_GLOW_DESC,Realça luzes e brilhos intensos na cena atual.,Enhances bright lights and intense glows in the current scene.,Realza luces y brillos intensos en la escena actual.,增强当前场景中的强光与辉光效果。
SETTINGS_GFX_SSAO,Oclusão de Ambiente (SSAO),Ambient Occlusion (SSAO),Oclusión Ambiental (SSAO),环境光遮蔽(SSAO)
SETTINGS_GFX_SSAO_DESC,Adiciona sombreamento suave nos cantos e contatos entre objetos.,Adds soft shading in corners and contact points between objects.,Añade sombreado suave en las esquinas y puntos de contacto entre objetos.,在物体的角落和接触点添加柔和阴影。
SETTINGS_GFX_SHADOW,Qualidade das Sombras,Shadow Quality,Calidad de las Sombras,阴影质量
SETTINGS_GFX_SHADOW_DESC,Resolução do mapa de sombras dos objetos e inimigos.,Shadow map resolution for objects and enemies.,Resolución del mapa de sombras de objetos y enemigos.,物体和敌人阴影贴图的分辨率。
SETTINGS_GFX_RESTORE,Restaurar Padrão,Restore Default,Restaurar Predeterminado,恢复默认
SETTINGS_GFX_MSAA_2D,MSAA 2D,2D MSAA,MSAA 2D,2D MSAA
SETTINGS_GFX_MSAA_2D_DESC,Suaviza bordas de linhas e formas desenhadas na tela.,Smooths edges of lines and shapes drawn on screen.,Suaviza los bordes de líneas y formas dibujadas en pantalla.,平滑屏幕上绘制的线条和形状的边缘。
SETTINGS_GFX_TEXTURE_FILTER,Filtro de Textura,Texture Filter,Filtro de Textura,纹理过滤
SETTINGS_GFX_TEXTURE_FILTER_DESC,Nítido preserva o estilo original; Suave deixa os sprites mais lisos.,Sharp preserves the original style; Smooth makes sprites softer.,Nítido conserva el estilo original; Suave deja los sprites más lisos.,锐利保留原始风格;平滑让精灵更柔和。
UI_HOLD_SKIP,SEGURE ESC / START PARA PULAR,HOLD ESC / START TO SKIP,MANTÉN ESC / START PARA SALTAR,按住 ESC / START 跳过
STORY_SKIP_PROMPT,SEGURE ESC / START PARA PULAR,HOLD ESC / START TO SKIP,MANTÉN ESC / START PARA SALTAR,按住 ESC / START 跳过
UI_HEALTH,VIDA,HEALTH,SALUD,生命
BATTLE_HP_LABEL,VIDA,HEALTH,SALUD,生命值
STORY_INTRO_1,Após Cabelo ser capturado,After Cabelo has been captured,Después de que Cabelo fuera capturado,卡贝洛被抓走后
STORY_INTRO_2,Maycon o procurou por toda parte,Maycon searched for him everywhere,Maycon lo buscó por todas partes,麦肯到处寻找他的下落
STORY_INTRO_3,Procurou por toda grande Bela Aurora,He searched all over the great Bela Aurora,Buscó por toda la gran Bela Aurora,寻遍了整个贝拉奥罗拉
STORY_INTRO_4,Restando apenas a pracinha da Bela,With only Bela's little square remaining,Quedando solo la placita de Bela,只剩下贝拉小广场
STORY_INTRO_5,Em um último suspiro Maycon foi lá...,"With his last breath, Maycon went there...","En un último suspiro, Maycon fue allí...",怀着最后的希望，麦肯赶往了那里……
DIALOGUE_SECO_1,Maycon seu safado!,Maycon you asshole!,"¡Maycon, sinvergüenza!",麦肯你个混蛋！
DIALOGUE_SECO_2,Esquece o cabelo!,Forget about Cabelo!,¡Olvídate de Cabelo!,忘了卡贝洛吧！
DIALOGUE_SECO_3,Levarei ele para um outro lugar...,I'm gonna take him to another place!,¡Me lo llevaré a otro lugar...,我要把他带去另一个地方……
DIALOGUE_SECO_4,fora do mundo real!,A not real one!,¡fuera del mundo real!,现实世界之外！
